DCounts,Refs,R
641.00,0.5415,2
641.00,0.5415,2
649.00,0.5415,2
640.00,0.5415,2
639.00,0.5415,2
640.00,0.5415,2
640.00,0.5415,2
642.00,0.5415,2
642.00,0.5415,2
644.00,0.5415,2
641.00,0.5415,2
643.00,0.5415,2
644.00,0.5415,2
645.00,0.5415,2
643.00,0.5415,2
644.00,0.5415,2
641.00,0.5415,2
642.00,0.5415,2
640.00,0.5415,2
643.00,0.5415,2
641.00,0.5415,2
642.00,0.5415,2
640.00,0.5415,2
640.00,0.5415,2
639.00,0.5415,2
642.00,0.5415,2
644.00,0.5415,2
645.00,0.5415,2
643.00,0.5415,2
645.00,0.5415,2
646.00,0.5415,2
639.00,0.5415,2
642.00,0.5415,2
643.00,0.5415,2
642.00,0.5415,2
642.00,0.5415,2
643.00,0.5415,2
649.00,0.5415,2
642.00,0.5415,2
641.00,0.5415,2
641.00,0.5415,2
640.00,0.5415,2
641.00,0.5415,2
640.00,0.5415,2
642.00,0.5415,2
641.00,0.5415,2
641.00,0.5415,2
644.00,0.5415,2
644.00,0.5415,2
639.00,0.5415,2
641.00,0.5415,2
642.00,0.5415,2
640.00,0.5415,2
644.00,0.5415,2
642.00,0.5415,2
648.00,0.5415,2
638.00,0.5415,2
639.00,0.5415,2
642.00,0.5415,2
640.00,0.5415,2
639.00,0.5415,2
641.00,0.5415,2
643.00,0.5415,2
643.00,0.5415,2
643.00,0.5415,2
642.00,0.5415,2
642.00,0.5415,2
644.00,0.5415,2
641.00,0.5415,2
642.00,0.5415,2
639.00,0.5415,2
641.00,0.5415,2
641.00,0.5415,2
638.00,0.5415,2
642.00,0.5415,2
642.00,0.5415,2
640.00,0.5415,2
642.00,0.5415,2
643.00,0.5415,2
640.00,0.5415,2
642.00,0.5415,2
646.00,0.5415,2
646.00,0.5415,2
640.00,0.5415,2
641.00,0.5415,2
640.00,0.5415,2
640.00,0.5415,2
641.00,0.5415,2
643.00,0.5415,2
642.00,0.5415,2
643.00,0.5415,2
641.00,0.5415,2
643.00,0.5415,2
641.00,0.5415,2
640.00,0.5415,2
639.00,0.5415,2
668.00,0.895,2
669.00,0.895,2
669.00,0.895,2
670.00,0.895,2
669.00,0.895,2
673.00,0.895,2
671.00,0.895,2
671.00,0.895,2
671.00,0.895,2
673.00,0.895,2
671.00,0.895,2
673.00,0.895,2
667.00,0.895,2
667.00,0.895,2
668.00,0.895,2
672.00,0.895,2
670.00,0.895,2
668.00,0.895,2
672.00,0.895,2
672.00,0.895,2
671.00,0.895,2
671.00,0.895,2
673.00,0.895,2
670.00,0.895,2
672.00,0.895,2
673.00,0.895,2
671.00,0.895,2
669.00,0.895,2
674.00,0.895,2
672.00,0.895,2
669.00,0.895,2
667.00,0.895,2
671.00,0.895,2
672.00,0.895,2
670.00,0.895,2
667.00,0.895,2
673.00,0.895,2
669.00,0.895,2
671.00,0.895,2
674.00,0.895,2
674.00,0.895,2
673.00,0.895,2
672.00,0.895,2
676.00,0.895,2
670.00,0.895,2
671.00,0.895,2
672.00,0.895,2
675.00,0.895,2
671.00,0.895,2
674.00,0.895,2
666.00,0.895,2
670.00,0.895,2
668.00,0.895,2
668.00,0.895,2
670.00,0.895,2
670.00,0.895,2
674.00,0.895,2
672.00,0.895,2
674.00,0.895,2
671.00,0.895,2
